Public Health Unit,Has Air Monitoring Station
Algoma Public Health,Yes
Brant County Health Unit,Yes
Chatham-Kent Public Health,Yes
City of Hamilton Public Health Services,Yes
Durham Region Health Department,Yes
Eastern Ontario Health Unit,Yes
Grey Bruce Public Health,No
Haldimand-Norfolk Health Unit,No
"Haliburton, Kawartha, Pine Ridge District Health Unit",No
Halton Region Public Health,Yes
Hastings Prince Edward Public Health,Yes
Huron Perth Public Health,Yes
"Kingston, Frontenac and Lennox & Addington Public Health",Yes
Lambton Public Health,Yes
"Leeds, Grenville & Lanark District Health Unit",No
Middlesex-London Health Unit,Yes
Niagara Region Public Health,Yes
North Bay Parry Sound District Health Unit,Yes
Northwestern Health Unit,No
Ottawa Public Health,Yes
Peel Public Health,Yes
Peterborough Public Health,Yes
Porcupine Health Unit,No
Public Health Sudbury & Districts,Yes
Region of Waterloo Public Health and Paramedic Services,No
Renfrew County and District Health Unit,Yes
Simcoe Muskoka District Health Unit,Yes
Southwestern Public Health,Yes
Thunder Bay District Health Unit,Yes
Timiskaming Health Unit,No
Toronto Public Health,Yes
Wellington-Dufferin-Guelph Public Health,Yes
Windsor-Essex County Health Unit,Yes
York Region Public Health,Yes
